Code,Internal Name,Region,Save Type,CRC32,SHA-1,Title,Short Title,Publisher,Title Line 1,Title Line 2
AK5J,KINBANGBA2,4,14,c81b9701,cf0a6c1c473ba6c85027b6071aa1cf6e21336974,,,,,
FSMJ,,4,0,,f08b1f60e41fc2080c50c65ea2b2af912661ed99,Super Mario Bros.,Super Mario Bros.,Nintendo,Super Mario Bros.,
FDKJ,,4,0,,b5afc36a8203c2c485344819d069300ecafd9657,,,,,
FZLE,,,2,,28aac26365bf41ba84e67f97e98d15c4678cb99d,,,,,
FSME,,,0,,8ca35864ae33c9462dd66ceff1fac5a79e2e0a6f,,,,,
FBME,,,0,,741eb2874c526cc014bf3e642b4ee37f18312735,,,,,
FXVE,,,0,,b2088582808480e0d70c63a777b046409d4e15c4,,,,,
FP7E,,,0,,843d853ed28a116c85a5357f9a94e9179f36a6d0,,,,,
FICE,,,0,,64e965d61b2d1be5dfadb0236fed83fea5995724,,,,,
FDKE,,,0,,8e3b203630f10c32aa7896afe9b7fbed7e1c8d30,,,,,
FLBE,,,2,,22ea42ad9a99a6bc0fcba8721cf8f484f68c3bf7,,,,,
FADE,,,0,,47a60315ed4074a8c986723b95b3c90513d3b35c,,,,,
FDME,,,0,,fc396f0eae55cf19e573aa322f525427e03d3854,,,,,
FMRE,,,0,,838da11f879e2fa3ffdef95e1c6d5a54246c1846,,,,,
FADP,,,0,,8bc8740a681e4d365419dbcee73619fe4429d66e,,,,,
BKQX,,,0,,ecfb6409abb7ff429aadc65a6b953dbaef3d09d8,,,,,
BIME,,,2,,ff2772e347212264d1a1c4d322a08685adc1e6a7,,,,,
FSRJ,,,2,,8fa03b1e23e7dea0dbc841d23046d03d246a1cdf,,,,,
FGZJ,,,0,,b4c1a3582f596d3912a1a7ea2d1eb6681b769448,,,,,
FSMJ,,,15,,6701010f7c195cf3fbdedb19e4627835a3158748,,,,,
AZLE,GBAZELDA,2,2,8e91cd13,a272055abbbf6c26b0cd54c87395d01699589161,The Legend of Zelda: A Link to the Past & Four Swords,A Link to the Past,Nintendo,The Legend of Zelda,A Link to the Past
AZLP,GBAZELDA,1,2,5a164321,3bb7f97ada7d60d8d334b271084effd1db853b32,The Legend of Zelda: A Link to the Past & Four Swords,A Link to the Past,Nintendo,The Legend of Zelda,A Link to the Past
BZME,GBAZELDA MC,2,2,abcebbb1,b4bd50e4131b027c334547b4524e2dbbd4227130,The Legend of Zelda: The Minish Cap,The Minish Cap,Nintendo,The Legend of Zelda,The Minish Cap
BZMP,GBAZELDA MC,1,2,e8637292,cff199b36ff173fb6faf152653d1bccf87c26fb7,The Legend of Zelda: The Minish Cap,The Minish Cap,Nintendo,The Legend of Zelda,The Minish Cap
A5NE,RAREDKC1,2,0,12f7a968,fcc62356a3b7157ca7dda1398c9bf1af1dd31265,Donkey Kong Country,DK Country,Nintendo,Donkey Kong Country,
A5NP,RAREDKC1,1,0,41d277fe,8995f0be99a9cff66474a8975b8499bd69fb4c45,Donkey Kong Country,DK Country,Nintendo,Donkey Kong Country,
B2DE,RAREDKC2,2,2,11417fc1,b0a4d59447c8d7c321bea4dc7253b0f581129ede,Donkey Kong Country 2,DK Country 2,Nintendo,Donkey Kong Country 2,
B2DP,RAREDKC2,1,2,aef11223,2243e9b8c299744e351bdd9e28bc2212f0840782,Donkey Kong Country 2,DK Country 2,Nintendo,Donkey Kong Country 2,
AMAE,SUPER MARIOA,3,0,1e4c6d6a,f071d45d8f5cb05b48d7d2b804c6cb6a79ad96fb,Super Mario Advance,Mario Advance,Nintendo,Super Mario Advance,Super Mario Bros. 2
AA2E,SUPER MARIOB,10,2,5206880a,5101ddf223d1d918928fe1f306b63a42ada14a5e,Super Mario Advance 2: Super Mario World,Super Mario World,Nintendo,Super Mario Advance 2,Super Mario World
AA2P,SUPER MARIOB,1,2,fcfef343,199a5a01bd3f56fba9a701062edbcf57e1528a0c,Super Mario Advance 2: Super Mario World,Super Mario World,Nintendo,Super Mario Advance 2,Super Mario World
A3AE,SUPER MARIOC,2,2,40a48276,7352d2bd064d9ebaec579e264228aa21c7345b80,Super Mario Advance 3: Yoshi's Island,Yoshi's Island,Nintendo,Super Mario Advance 3,Yoshi's Island
A3AP,SUPER MARIOC,1,2,639e9d3b,bd52eb4b4ebe438e9b9ecaac792bd389725cde41,Super Mario Advance 3: Yoshi's Island,Yoshi's Island,Nintendo,Super Mario Advance 3,Yoshi's Island
